TITLE     = "Periodic hill 257x129"
VARIABLES = "x corner"
"y corner"
ZONE T="I257_J129_g2.0_a0.5"
 I=257, J=129, K=1,F=POINT
DT=(SINGLE SINGLE )
  1.259997144E-01  3.705709831E-04
  1.274859482E-01  3.705709831E-04
  1.289630527E-01  3.705709831E-04
  1.304301303E-01  3.705709831E-04
  1.318873342E-01  3.705709831E-04
  1.333326992E-01  3.705709831E-04
  1.347676082E-01  3.705709831E-04
  1.361929370E-01  3.705709831E-04
  1.376086979E-01  3.705709831E-04
  1.390136797E-01  3.705709831E-04
  1.404078634E-01  3.705709831E-04
  1.417927253E-01  3.705709831E-04
  1.431682884E-01  3.705709831E-04
  1.445339374E-01  3.705709831E-04
  1.458885524E-01  3.705709831E-04
  1.472340073E-01  3.705709831E-04
  1.485705048E-01  3.705709831E-04
  1.498979628E-01  3.705709831E-04
  1.512141481E-01  3.705709831E-04
  1.525213298E-01  3.705709831E-04
  1.538198671E-01  3.705709831E-04
  1.551096231E-01  3.705709831E-04
  1.563890883E-01  3.705709831E-04
  1.576591219E-01  3.705709831E-04
  1.589206757E-01  3.705709831E-04
  1.601737962E-01  3.705709831E-04
  1.614175349E-01  3.705709831E-04
  1.626515303E-01  3.705709831E-04
  1.638771635E-01  3.705709831E-04
  1.650946451E-01  3.705709831E-04
  1.663036656E-01  3.705709831E-04
  1.675026435E-01  3.705709831E-04
  1.686934975E-01  3.705709831E-04
  1.698764180E-01  3.705709831E-04
  1.710512896E-01  3.705709831E-04
  1.722164899E-01  3.705709831E-04
  1.733735167E-01  3.705709831E-04
  1.745227469E-01  3.705709831E-04
  1.756641989E-01  3.705709831E-04
  1.767968908E-01  3.705709831E-04
  1.779210844E-01  3.705709831E-04
  1.790376339E-01  3.705709831E-04
  1.801466897E-01  3.705709831E-04
  1.812476600E-01  3.705709831E-04
  1.823398737E-01  3.705709833E-04
  1.834247471E-01  3.705709827E-04
  1.845023749E-01  3.705709840E-04
  1.855724462E-01  3.705709833E-04
  1.866337431E-01  3.705709768E-04
  1.876877349E-01  3.705710077E-04
  1.887346174E-01  3.705709294E-04
  1.897744318E-01  3.705710111E-04
  1.908059552E-01  3.705712543E-04
  1.918299786E-01  3.705697030E-04
  1.928471274E-01  3.705742619E-04
  1.938574613E-01  3.705674879E-04
  1.948599456E-01  3.705607694E-04
  1.958545460E-01  3.706351803E-04
  1.968414678E-01  3.703809423E-04
  1.978189532E-01  3.709402162E-04
  1.987849275E-01  3.840661382E-04
  1.997394922E-01  4.347776136E-04
  2.006860570E-01  5.242559898E-04
  2.016258407E-01  6.498427024E-04
  2.025586782E-01  8.114265841E-04
  2.034849719E-01  1.007871453E-03
  2.044048923E-01  1.238347761E-03
  2.053182613E-01  1.501912612E-03
  2.062250838E-01  1.797575315E-03
  2.071259701E-01  2.124874254E-03
  2.080206730E-01  2.482871787E-03
  2.089089901E-01  2.870493704E-03
  2.097909631E-01  3.286816794E-03
  2.106670874E-01  3.731563841E-03
  2.115377009E-01  4.204248452E-03
  2.124023556E-01  4.703090116E-03
  2.132613737E-01  5.225934507E-03
  2.141154647E-01  5.770164625E-03
  2.149648951E-01  6.333400947E-03
  2.158091693E-01  6.911984383E-03
  2.166483748E-01  7.503444563E-03
  2.174826731E-01  8.105466364E-03
  2.183119338E-01  8.715464148E-03
  2.191362134E-01  9.330911915E-03
  2.199555397E-01  9.949816962E-03
  2.207698619E-01  1.057024919E-02
  2.215789201E-01  1.118925640E-02
  2.223825437E-01  1.180541407E-02
  2.231806978E-01  1.241917318E-02
  2.239732142E-01  1.303093449E-02
  2.247597650E-01  1.364073075E-02
  2.255402325E-01  1.424904900E-02
  2.263150349E-01  1.485716939E-02
  2.270842817E-01  1.546548874E-02
  2.278478057E-01  1.607428314E-02
  2.286055309E-01  1.668349941E-02
  2.293578121E-01  1.729426742E-02
  2.301047460E-01  1.790703584E-02
  2.308463056E-01  1.852220942E-02
  2.315826005E-01  1.913956300E-02
  2.323139579E-01  1.975941781E-02
  2.330411141E-01  2.037940342E-02
  2.337644838E-01  2.099643756E-02
  2.344837630E-01  2.160572972E-02
  2.351990235E-01  2.220365176E-02
  2.359106465E-01  2.278826898E-02
  2.366187614E-01  2.335688374E-02
  2.373226609E-01  2.390525848E-02
  2.380222216E-01  2.442872120E-02
  2.387216621E-01  2.493000790E-02
  2.394229772E-01  2.540637620E-02
  2.401257310E-01  2.585395238E-02
  2.408278443E-01  2.626555167E-02
